Id,Predicted
0,3
1,9
2,9
3,4
4,5
5,0
6,0
7,7
8,8
9,1
10,4
11,8
12,4
13,4
14,5
15,4
16,1
17,6
18,4
19,8
20,8
21,6
22,1
23,6
24,1
25,8
26,0
27,5
28,0
29,7
30,5
31,8
32,1
33,4
34,8
35,1
36,1
37,4
38,6
39,8
40,1
41,4
42,7
43,4
44,3
45,5
46,1
47,7
48,0
49,8
50,1
51,0
52,1
53,0
54,4
55,5
56,1
57,5
58,3
59,5
60,3
61,5
62,4
63,6
64,8
65,8
66,1
67,8
68,6
69,5
70,7
71,5
72,1
73,1
74,0
75,4
76,5
77,4
78,4
79,8
80,6
81,8
82,7
83,8
84,1
85,1
86,4
87,6
88,6
89,8
90,6
91,1
92,0
93,8
94,1
95,1
96,0
97,9
98,0
99,5
100,5
101,8
102,1
103,6
104,1
105,4
106,8
107,1
108,4
109,8
110,1
111,0
112,5
113,4
114,4
115,8
116,0
117,3
118,8
119,8
120,3
121,4
122,5
123,6
124,6
125,4
126,1
127,0
128,8
129,4
130,1
131,4
132,8
133,1
134,8
135,3
136,7
137,5
138,0
139,5
140,3
141,5
142,4
143,6
144,8
145,1
146,8
147,1
148,0
149,8
150,4
151,5
152,8
153,7
154,8
155,8
156,4
157,8
158,4
159,5
160,5
161,7
162,5
163,0
164,3
165,0
166,0
167,5
168,1
169,3
170,8
171,0
172,7
173,4
174,1
175,8
176,4
177,0
178,5
179,8
180,3
181,8
182,5
183,3
184,1
185,9
186,5
187,9
188,5
189,6
190,6
191,4
192,9
193,4
194,9
195,1
196,0
197,6
198,5
199,4
200,6
201,5
202,7
203,1
204,4
205,1
206,1
207,6
208,6
209,1
210,6
211,4
212,5
213,1
214,8
215,9
216,0
217,1
218,8
219,6
220,4
221,1
222,5
223,4
224,9
225,4
226,7
227,0
228,6
229,8
230,6
231,4
232,2
233,5
234,4
235,6
236,8
237,1
238,8
239,3
240,7
241,1
242,9
243,1
244,5
245,0
246,4
247,8
248,4
249,2
250,9
251,0
252,5
253,5
254,1
255,9
256,1
257,4
258,2
259,4
260,1
261,0
262,4
263,8
264,4
265,8
266,1
267,0
268,1
269,0
270,1
271,3
272,4
273,1
274,3
275,1
276,5
277,1
278,5
279,6
280,8
281,7
282,4
283,6
284,5
285,1
286,4
287,8
288,3
289,2
290,5
291,5
292,8
293,4
294,5
295,8
296,7
297,4
298,8
299,4
300,1
301,9
302,8
303,1
304,5
305,7
306,5
307,6
308,2
309,8
310,4
311,8
312,7
313,1
314,0
315,6
316,6
317,5
318,8
319,0
320,6
321,5
322,4
323,6
324,1
325,1
326,1
327,4
328,4
329,7
330,6
331,0
332,0
333,1
334,7
335,8
336,8
337,1
338,5
339,6
340,7
341,0
342,8
343,7
344,9
345,0
346,7
347,8
348,1
349,0
350,1
351,3
352,0
353,5
354,9
355,3
356,0
357,4
358,1
359,0
360,8
361,3
362,4
363,0
364,3
365,6
366,4
367,4
368,1
369,1
370,8
371,1
372,6
373,3
374,1
375,6
376,4
377,9
378,8
379,5
380,5
381,4
382,1
383,4
384,0
385,7
386,8
387,4
388,5
389,7
390,1
391,8
392,8
393,4
394,1
395,6
396,4
397,8
398,0
399,1
400,1
401,8
402,0
403,4
404,1
405,5
406,1
407,3
408,5
409,0
410,4
411,6
412,0
413,8
414,5
415,4
416,5
417,5
418,2
419,3
420,6
421,6
422,4
423,0
424,8
425,1
426,0
427,8
428,7
429,1
430,5
431,6
432,1
433,6
434,5
435,1
436,4
437,0
438,4
439,0
440,5
441,0
442,7
443,3
444,1
445,5
446,1
447,8
448,5
449,6
450,9
451,1
452,0
453,8
454,7
455,0
456,8
457,3
458,1
459,0
460,1
461,6
462,8
463,3
464,4
465,3
466,0
467,1
468,1
469,8
470,1
471,5
472,4
473,8
474,6
475,1
476,4
477,8
478,4
479,8
480,1
481,1
482,3
483,5
484,7
485,0
486,3
487,6
488,8
489,1
490,8
491,5
492,3
493,1
494,7
495,3
496,5
497,7
498,7
499,1
500,8
501,9
502,6
503,4
504,7
505,7
506,5
507,4
508,3
509,1
510,3
511,6
512,0
513,5
514,1
515,1
516,1
517,5
518,5
519,0
520,8
521,0
522,7
523,0
524,1
525,7
526,5
527,5
528,4
529,0
530,5
531,0
532,5
533,4
534,3
535,1
536,5
537,1
538,8
539,5
540,9
541,0
542,1
543,1
544,4
545,1
546,4
547,1
548,5
549,2
550,3
551,3
552,1
553,8
554,5
555,0
556,7
557,5
558,3
559,8
560,0
561,1
562,1
563,0
564,8
565,1
566,1
567,8
568,4
569,9
570,5
571,1
572,7
573,1
574,9
575,0
576,0
577,5
578,1
579,3
580,1
581,6
582,1
583,1
584,1
585,8
586,8
587,7
588,6
589,0
590,4
591,6
592,1
593,5
594,5
595,3
596,7
597,5
598,4
599,3
600,1
601,1
602,1
603,1
604,0
605,1
606,5
607,6
608,4
609,3
610,8
611,8
612,0
613,8
614,5
615,4
616,5
617,1
618,0
619,1
620,1
621,3
622,2
623,0
624,3
625,1
626,4
627,0
628,5
629,0
630,3
631,4
632,3
633,8
634,5
635,1
636,4
637,8
638,7
639,8
640,2
641,4
642,3
643,6
644,9
645,8
646,6
647,2
648,7
649,5
650,0
651,1
652,1
653,1
654,3
655,1
656,1
657,1
658,1
659,6
660,1
661,0
662,0
663,0
664,4
665,5
666,1
667,2
668,5
669,8
670,8
671,3
672,1
673,0
674,5
675,8
676,7
677,6
678,8
679,3
680,4
681,0
682,5
683,5
684,4
685,5
686,1
687,8
688,8
689,8
690,0
691,6
692,4
693,1
694,1
695,5
696,8
697,3
698,8
699,1
700,8
701,4
702,3
703,5
704,0
705,8
706,8
707,8
708,4
709,1
710,0
711,4
712,8
713,1
714,6
715,4
716,6
717,5
718,1
719,0
720,7
721,4
722,0
723,4
724,1
725,5
726,1
727,1
728,0
729,2
730,3
731,5
732,1
733,9
734,0
735,4
736,5
737,8
738,8
739,1
740,3
741,3
742,1
743,0
744,9
745,5
746,6
747,0
748,1
749,1
750,4
751,6
752,7
753,2
754,1
755,5
756,5
757,8
758,5
759,6
760,4
761,4
762,8
763,1
764,5
765,5
766,1
767,1
768,5
769,6
770,5
771,4
772,5
773,4
774,9
775,8
776,8
777,8
778,4
779,0
780,6
781,3
782,1
783,4
784,8
785,0
786,6
787,1
788,1
789,1
790,2
791,1
792,6
793,6
794,6
795,6
796,5
797,6
798,1
799,8
800,8
801,3
802,8
803,6
804,6
805,0
806,1
807,0
808,7
809,9
810,4
811,5
812,5
813,9
814,8
815,8
816,1
817,8
818,4
819,5
820,6
821,8
822,5
823,9
824,0
825,2
826,6
827,8
828,1
829,4
830,8
831,1
832,0
833,8
834,7
835,0
836,6
837,5
838,8
839,0
840,4
841,1
842,6
843,0
844,8
845,4
846,8
847,8
848,6
849,1
850,8
851,5
852,5
853,3
854,4
855,8
856,9
857,5
858,0
859,4
860,1
861,1
862,8
863,9
864,8
865,8
866,8
867,6
868,7
869,8
870,5
871,1
872,5
873,1
874,1
875,4
876,0
877,3
878,6
879,5
880,8
881,6
882,1
883,3
884,3
885,3
886,8
887,7
888,5
889,3
890,4
891,8
892,0
893,0
894,4
895,8
896,8
897,3
898,4
899,5
900,8
901,6
902,8
903,4
904,5
905,5
906,5
907,1
908,4
909,5
910,7
911,2
912,5
913,8
914,1
915,4
916,0
917,6
918,5
919,5
920,2
921,3
922,1
923,1
924,7
925,6
926,7
927,5
928,3
929,4
930,5
931,5
932,8
933,5
934,1
935,0
936,1
937,5
938,0
939,8
940,9
941,8
942,6
943,6
944,7
945,4
946,6
947,1
948,9
949,1
950,4
951,8
952,6
953,8
954,4
955,5
956,6
957,5
958,6
959,1
960,8
961,4
962,3
963,5
964,5
965,4
966,3
967,5
968,5
969,6
970,4
971,2
972,9
973,5
974,0
975,5
976,8
977,8
978,0
979,8
980,0
981,7
982,1
983,1
984,1
985,4
986,8
987,4
988,4
989,1
990,7
991,4
992,5
993,4
994,8
995,7
996,0
997,8
998,3
999,0
1000,1
1001,8
1002,7
1003,5
1004,8
1005,5
1006,3
1007,8
1008,6
1009,0
1010,1
1011,1
1012,5
1013,4
1014,0
1015,1
1016,1
1017,4
1018,4
1019,1
1020,6
1021,7
1022,0
1023,8
1024,0
1025,4
1026,8
1027,4
